ItemName	ItemGenre	DetailType	ParticularType	ImageName	ObjIdx	Width	Height	Intro	Series	Price	Level	PropType1	Min	Max	PropType2	Min	Max	PropType3	Min	Max	PropType4	Min	Max	PropType5	Min	Max	PropType6	Min	Max	PropType7	Min	Max	PropReq1	Param	PropReq2	Param	PropReq3	Param	PropReq4	Param	PropReq5	Param	PropReq6	Param	Magic1	Magic2	Magic3	Magic4	Magic5	Magic6	Set	SetNum	SetId	ExtraMagic1	ExtraMagic2
Thanh C©u §¹i Lùc Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Thanh C©u(5)	4	99999	10	30	160	160	31	80	80																39	1	36	50									951	930	971	1173	1330	1290	88	10	5	1473	
Thanh C©u §¹i Lùc Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth13-3.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Thanh C©u(6)	0	99999	10	30	720	720	31	90	90																39	1	36	50									951	850	971	1013	1233	1290	88	10	6		
Thanh C©u §¹i Lùc B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Thanh C©u(7)	2	99999	10	28	40	40	29	114	114	167	-30	-30	31	99	99										39	1	36	50									1273	890	1073	1193	1315	1290	88	10	7		
Thanh C©u §¹i Lùc Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Thanh C©u(8)	1	99999	10	30	160	160	31	80	80																39	1	36	50									951	870	971	1013	1253	1290	88	10	8		
Thanh C©u §¹i Lùc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Thanh C©u(9)	3	99999	10																						39	1	36	50									950	910	970	1213	1330	1290	88	10	9	1474	
Thanh C©u §¹i Lùc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Thanh C©u(10)	4	99999	10																						39	1	36	50									950	930	970	1173	1330	1290	88	10	10		
Thanh C©u V« S¾c Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(1)	4	99999	10																						39	4	36	50									950	930	971	1173	993	1290	89	10	1	1476	
Thanh C©u V« S¾c Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap10-3.spr	28	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(2)	0	99999	10	30	360	360	31	85	85																39	4	36	50									951	850	970	1013	1330	1290	89	10	2		
Thanh C©u V« S¾c Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(3)	2	99999	10																						39	4	36	50									950	890	971	1193	1330	1290	89	10	3		
Thanh C©u V« S¾c Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(4)	1	99999	10	30	135	135	31	80	80																39	4	36	50									951	870	970	1013	1330	1290	89	10	4		
Thanh C©u V« S¾c Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(5)	3	99999	10	30	160	160	31	80	80																39	4	36	50									951	910	971	1213	1330	1290	89	10	5	1477	
Thanh C©u V« S¾c Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth10-3.spr	24	2	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(6)	4	99999	10	30	720	720	31	90	90																39	4	36	50									951	930	971	1173	1233	1290	89	10	6		
Thanh C©u V« S¾c Tr­êng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(7)	0	99999	10	28	46	46	29	86	86	167	-30	-30	31	99	99										39	4	36	50									1036	850	1073	1013	1330	1290	89	10	7		
Thanh C©u V« S¾c Hµi	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(8)	2	99999	10	30	160	160	31	80	80																39	4	36	50									951	890	971	1193	1253	1290	89	10	8		
Thanh C©u V« S¾c H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(9)	1	99999	10																						39	4	36	50									950	870	970	1013	1330	1290	89	10	9	1478	
Thanh C©u V« S¾c H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Thanh C©u(10)	3	99999	10																						39	4	36	50									950	910	970	1213	1330	1290	89	10	10		
Thanh C©u TuyÕt S¾c Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(1)	4	99999	10																						39	4	36	50									950	930	971	1173	993	1290	90	10	1	1480	
Thanh C©u TuyÕt S¾c Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap10-3.spr	28	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(2)	0	99999	10	30	360	360	31	85	85																39	4	36	50									951	850	970	1013	1330	1290	90	10	2		
Thanh C©u TuyÕt S¾c Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(3)	2	99999	10																						39	4	36	50									950	890	971	1193	1330	1290	90	10	3		
Thanh C©u TuyÕt S¾c Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(4)	1	99999	10	30	135	135	31	80	80																39	4	36	50									951	870	970	1013	1330	1290	90	10	4		
Thanh C©u TuyÕt S¾c Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(5)	3	99999	10	30	160	160	31	80	80																39	4	36	50									951	910	971	1213	1330	1290	90	10	5	1481	
Thanh C©u TuyÕt S¾c Tr­êng Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth10-3.spr	22	2	3	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(6)	4	99999	10	30	720	720	31	90	90																39	4	36	50									951	930	971	1173	1233	1290	90	10	6		
Thanh C©u TuyÕt S¾c TriÒn Thñ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(7)	0	99999	10	28	60	60	29	100	100	167	-30	-30	31	99	99										39	4	36	50									1056	850	1113	1013	1330	1290	90	10	7		
Thanh C©u TuyÕt S¾c Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(8)	2	99999	10	30	160	160	31	80	80																39	4	36	50									951	890	971	1193	1253	1290	90	10	8		
Thanh C©u TuyÕt S¾c H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(9)	1	99999	10																						39	4	36	50									950	870	970	1013	1330	1290	90	10	9	1482	
Thanh C©u TuyÕt S¾c H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Thanh C©u(10)	3	99999	10																						39	4	36	50									950	910	970	1213	1330	1290	90	10	10		
Thanh C©u Tè La Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(1)	4	99999	10																						39	5	36	50									950	850	971	1013	993	1290	91	10	1	1484	
Thanh C©u Tè La Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap07-3.spr	28	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(2)	0	99999	10	30	360	360	31	85	85																39	5	36	50									951	890	970	1193	1330	1290	91	10	2		
Thanh C©u Tè La Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(3)	2	99999	10																						39	5	36	50									950	870	971	1013	1330	1290	91	10	3		
Thanh C©u Tè La Tô	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(4)	1	99999	10	30	135	135	31	80	80																39	5	36	50									951	910	970	1213	1330	1290	91	10	4		
Thanh C©u Tè La Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(5)	3	99999	10	30	160	160	31	80	80																39	5	36	50									951	930	971	1173	1330	1290	91	10	5	1485	
Thanh C©u Tè La Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth07-3.spr	24	2	3	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(6)	4	99999	10	30	720	720	31	90	90																39	5	36	50									951	850	971	1013	1233	1290	91	10	6		
Thanh C©u Tè La §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(7)	0	99999	10	28	40	40	29	114	114	167	-30	-30	31	99	99										39	5	36	50									1036	890	1073	1193	1330	1290	91	10	7		
Thanh C©u Tè La Hµi	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(8)	2	99999	10	30	160	160	31	80	80																39	5	36	50									951	870	971	1013	1253	1290	91	10	8		
Thanh C©u Tè La H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(9)	1	99999	10																						39	5	36	50									950	910	970	1213	1330	1290	91	10	9	1486	
Thanh C©u Tè La H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Thanh C©u(10)	3	99999	10																						39	5	36	50									950	930	970	1173	1330	1290	91	10	10		
Thanh C©u BÝch La Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(1)	0	99999	10																						39	5	36	50									950	850	971	1013	993	1290	92	10	1	1488	
Thanh C©u BÝch La Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap07-3.spr	28	2	2	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(2)	2	99999	10	30	360	360	31	85	85																39	5	36	50									951	890	970	1193	1330	1290	92	10	2		
Thanh C©u BÝch La Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(3)	1	99999	10																						39	5	36	50									950	870	971	1013	1330	1290	92	10	3		
Thanh C©u BÝch La Tô	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(4)	3	99999	10	30	135	135	31	80	80																39	5	36	50									951	910	970	1213	1330	1290	92	10	4	1489	
Thanh C©u BÝch La Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(5)	4	99999	10	30	160	160	31	80	80																39	5	36	50									951	930	971	1173	1330	1290	92	10	5		
Thanh C©u BÝch La Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth07-3.spr	24	2	3	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(6)	0	99999	10	30	720	720	31	90	90																39	5	36	50									951	850	971	1013	1233	1290	92	10	6		
Thanh C©u BÝch La Uyªn ¦¬ng §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(7)	2	99999	10	28	62	62	29	92	92	167	-30	-30	31	99	99										39	5	36	50									1056	890	1113	1193	1330	1290	92	10	7		
Thanh C©u BÝch La Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(8)	1	99999	10	30	160	160	31	80	80																39	5	36	50									951	870	971	1013	1253	1290	92	10	8		
Thanh C©u BÝch La H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(9)	3	99999	10																						39	5	36	50									950	910	970	1213	1330	1290	92	10	9	1490	
Thanh C©u BÝch La H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Thóy Yªn song ®ao cÊp Thanh C©u(10)	4	99999	10																						39	5	36	50									950	930	970	1173	1330	1290	92	10	10		
Thanh C©u Ban Lan Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(1)	0	99999	10																						39	3	36	50									950	850	971	1013	993	1290	93	10	1	1492	
Thanh C©u Ban Lan Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(2)	2	99999	10	30	360	360	31	85	85																39	3	36	50									951	890	970	1193	1330	1290	93	10	2		
Thanh C©u Ban Lan Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(3)	1	99999	10																						39	3	36	50									950	870	971	1013	1330	1290	93	10	3		
Thanh C©u Ban Lan Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(4)	3	99999	10	30	135	135	31	80	80																39	3	36	50									951	910	970	1213	1330	1290	93	10	4		
Thanh C©u Ban Lan Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(5)	4	99999	10	30	160	160	31	80	80																39	3	36	50									951	930	971	1173	1330	1290	93	10	5	1493	
Thanh C©u Ban Lan BÝ Trang	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-3.spr	22	2	3	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(6)	0	99999	10	30	720	720	31	90	90																39	3	36	50									951	850	971	1013	1233	1290	93	10	6		
Thanh C©u Ban Lan TriÒn Thñ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(7)	2	99999	10	28	40	40	29	114	114	167	-30	-30	31	99	99										39	3	36	50									1054	890	1093	1193	1330	1290	93	10	7		
Thanh C©u Ban Lan Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(8)	1	99999	10	30	160	160	31	80	80																39	3	36	50									951	870	971	1013	1253	1290	93	10	8		
Thanh C©u Ban Lan Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(9)	3	99999	10																						39	3	36	50									950	910	970	1213	1330	1290	93	10	9	1494	
Thanh C©u Ban Lan H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Thanh C©u(10)	4	99999	10																						39	3	36	50									950	930	970	1173	1330	1290	93	10	10		
Thanh C©u Lôc Quang H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(1)	0	99999	10																						39	3	36	50									950	850	971	1013	993	1290	94	10	1	1496	
Thanh C©u Lôc Quang Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(2)	2	99999	10	30	360	360	31	85	85																39	3	36	50									951	890	970	1193	1330	1290	94	10	2		
Thanh C©u Lôc Quang Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(3)	1	99999	10																						39	3	36	50									950	870	971	1013	1330	1290	94	10	3		
Thanh C©u Lôc Quang Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(4)	3	99999	10	30	135	135	31	80	80																39	3	36	50									951	910	970	1213	1330	1290	94	10	4		
Thanh C©u Lôc Quang Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(5)	4	99999	10	30	160	160	31	80	80																39	3	36	50									951	930	971	1173	1330	1290	94	10	5	1497	
Thanh C©u Lôc Quang BÝ Trang	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-3.spr	22	2	3	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(6)	0	99999	10	30	720	720	31	90	90																39	3	36	50									951	850	971	1013	1233	1290	94	10	6		
Thanh C©u Lôc Quang §éc NhÉn	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(7)	2	99999	10	28	40	40	29	114	114	167	-30	-30	31	99	99										39	3	36	50									1034	890	1073	1193	1315	1290	94	10	7		
Thanh C©u Lôc Quang Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(8)	1	99999	10	30	160	160	31	80	80																39	3	36	50									951	870	971	1013	1253	1290	94	10	8		
Thanh C©u Lôc Quang Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(9)	3	99999	10																						39	3	36	50									950	910	970	1213	1330	1290	94	10	9	1498	
Thanh C©u Lôc Quang H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(10)	4	99999	10																						39	3	36	50									950	930	970	1173	1330	1290	94	10	10		
Thanh C©u BÝ Linh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(1)	4	99999	10																						39	2	36	50									950	930	971	1173	993	1290	95	10	1	1500	
Thanh C©u BÝ Linh Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(2)	0	99999	10	30	360	360	31	85	85																39	2	36	50									951	850	970	1013	1330	1290	95	10	2		
Thanh C©u BÝ Linh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(3)	2	99999	10																						39	2	36	50									950	890	971	1193	1330	1290	95	10	3		
Thanh C©u BÝ Linh Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(4)	1	99999	10	30	135	135	31	80	80																39	2	36	50									951	870	970	1013	1330	1290	95	10	4		
Thanh C©u BÝ Linh Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(5)	3	99999	10	30	160	160	31	80	80																39	2	36	50									951	910	971	1213	1330	1290	95	10	5	1501	
Thanh C©u BÝ Linh Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-3.spr	22	2	3	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(6)	4	99999	10	30	720	720	31	90	90																39	2	36	50									951	930	971	1173	1233	1290	95	10	6		
Thanh C©u BÝ Linh Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(7)	0	99999	10	28	44	44	29	100	100	167	-30	-30	31	99	99										39	2	36	50									1038	850	1073	1013	1330	1290	95	10	7		
Thanh C©u BÝ Linh Lý	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(8)	2	99999	10	30	160	160	31	80	80																39	2	36	50									951	890	971	1193	1253	1290	95	10	8		
Thanh C©u BÝ Linh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(9)	1	99999	10																						39	2	36	50									950	870	970	1013	1330	1290	95	10	9	1502	
Thanh C©u BÝ Linh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(10)	3	99999	10																						39	2	36	50									950	910	970	1213	1330	1290	95	10	10		
Thanh C©u Tµn V©n H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(1)	4	99999	10																						39	2	36	50									950	930	971	1173	993	1290	96	10	1	1500	
Thanh C©u Tµn V©n Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(2)	0	99999	10	30	360	360	31	85	85																39	2	36	50									951	850	970	1013	1330	1290	96	10	2		
Thanh C©u Tµn V©n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(3)	2	99999	10																						39	2	36	50									950	890	971	1193	1330	1290	96	10	3		
Thanh C©u Tµn V©n Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(4)	1	99999	10	30	135	135	31	80	80																39	2	36	50									951	870	970	1013	1330	1290	96	10	4		
Thanh C©u Tµn V©n Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(5)	3	99999	10	30	160	160	31	80	80																39	2	36	50									951	910	971	1213	1330	1290	96	10	5	1501	
Thanh C©u Tµn V©n Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-3.spr	22	2	3	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(6)	4	99999	10	30	720	720	31	90	90																39	2	36	50									951	930	971	1173	1233	1290	96	10	6		
Thanh C©u Tµn V©n TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(7)	0	99999	10	28	46	46	29	102	102	167	-30	-30	31	99	99										39	2	36	50									1038	850	1073	1013	1330	1290	96	10	7		
Thanh C©u Tµn V©n Lý	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(8)	2	99999	10	30	160	160	31	80	80																39	2	36	50									951	890	971	1193	1253	1290	96	10	8		
Thanh C©u Tµn V©n Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(9)	1	99999	10																						39	2	36	50									950	870	970	1013	1330	1290	96	10	9	1504	
Thanh C©u Tµn V©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(10)	3	99999	10																						39	2	36	50									950	910	970	1213	1330	1290	96	10	10		
Thanh C©u Phi Tinh Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(1)	4	99999	10																						39	2	36	50									950	930	971	1173	993	1290	97	10	1	1500	
Thanh C©u Phi Tinh Ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(2)	0	99999	10	30	360	360	31	85	85																39	2	36	50									951	850	970	1013	1330	1290	97	10	2		
Thanh C©u Phi Tinh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(3)	2	99999	10																						39	2	36	50									950	890	971	1193	1330	1290	97	10	3		
Thanh C©u Phi Tinh Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(4)	1	99999	10	30	135	135	31	80	80																39	2	36	50									951	870	970	1013	1330	1290	97	10	4		
Thanh C©u Phi Tinh TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(5)	3	99999	10	30	160	160	31	80	80																39	2	36	50									951	910	971	1213	1330	1290	97	10	5	1501	
Thanh C©u Phi Tinh Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-3.spr	22	2	3	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(6)	4	99999	10	30	720	720	31	90	90																39	2	36	50									951	930	971	1173	1233	1290	97	10	6		
Thanh C©u Phi Tinh Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(7)	0	99999	10	28	42	42	29	98	98	167	-30	-30	31	99	99										39	2	36	50									1038	850	1073	1013	1330	1290	97	10	7		
Thanh C©u Phi Tinh Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(8)	2	99999	10	30	160	160	31	80	80																39	2	36	50									951	890	971	1193	1253	1290	97	10	8		
Thanh C©u Phi Tinh Trôy	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(9)	1	99999	10																						39	2	36	50									950	870	970	1013	1330	1290	97	10	9	1506	
