Name	Genre	Detail	Image	ObjId	Width	Height	Intro	Price	CanSale	CanRemove	Stack	ShortKey
Ph¸o tiÓu	5	137	\spr\item\script\spring2007\bianpao_small.spr	462	1	1	Gãp vui ngµy TÕt.<enter>Thu thËp thËt nhiÒu vµ mang ®Õn Thî Lµm Ph¸o t¹i Minh NguyÖt trÊn ®Ó lµm ph¸o cÊp cao h¬n.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>	1	1	0	100	0
Ph¸o trung	5	138	\spr\item\script\spring2007\bianpao_middle.spr	462	1	2	Gãp vui ngµy TÕt.<enter>Thu thËp thËt nhiÒu vµ mang ®Õn Thî Lµm Ph¸o t¹i Minh NguyÖt trÊn ®Ó lµm ph¸o cÊp cao h¬n.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>	1	1	0	100	0
Ph¸o ®¹i	5	139	\spr\item\script\spring2007\bianpao_big.spr	462	1	2	Gãp vui ngµy TÕt.<enter>Thu thËp thËt nhiÒu vµ mang ®Õn Thî Lµm Ph¸o t¹i Minh NguyÖt trÊn ®Ó lµm ph¸o cÊp cao h¬n.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>	1	1	0	100	0
Phong ph¸o tiÓu	5	140	\spr\item\script\spring2007\bianpaochuan_small.spr	463	1	1	Gãp vui ngµy TÕt.<enter>Sö dông sÏ nhËn ®­îc 1.000.000 ®iÓm kinh nghiÖm vµ ngÉu nhiªn nhËn ®­îc vËt phÈm.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color><enter><color=yellow>Sö dông tèi ®a: 300 c¸i<color>	1	1	0	100	0
Phong ph¸o trung	5	141	\spr\item\script\spring2007\bianpaochuan_middle.spr	463	1	2	Gãp vui ngµy TÕt.<enter>Sö dông sÏ nhËn ®­îc 3.000.000 ®iÓm kinh nghiÖm vµ ngÉu nhiªn nhËn ®­îc vËt phÈm.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color><enter><color=yellow>Sö dông tèi ®a: 400 c¸i<color>	1	1	0	100	0
Phong ph¸o ®¹i	5	142	\spr\item\script\spring2007\bianpaochuan_big.spr	463	1	2	Gãp vui ngµy TÕt.<enter>Sö dông sÏ nhËn ®­îc 6.000.000 ®iÓm kinh nghiÖm vµ ngÉu nhiªn nhËn ®­îc vËt phÈm.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color><enter><color=yellow>Sö dông tèi ®a: 600 c¸i<color>	1	1	0	100	0
D©y cét phong ph¸o ®¹i	5	143	\spr\item\vietnam\midautumn06\tiesi.spr	462	1	1	"Gãp vui ngµy TÕt.<enter>§­îc b¸n t¹i Npc Thî Lµm Ph¸o,dïng ®Ó cét phong ph¸o ®¹i.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>"	1	1	0	100	0
Tói mõng xu©n	5	144	\spr\item\newyear2008\yingchundai.spr	470	1	1	Èn chøa nguyªn liÖu lµm b¸nh th¬m ngon.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>	1	1	0	100	0
L¸ b¸nh	5	145	\spr\item\newyear2008\zongyue.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh th¬m ngon.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>	1	1	0	100	0
G¹o nÕp	5	146	\spr\item\newyear2008\nuomi.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh th¬m ngon.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>	1	1	0	100	0
§Ëu xanh	5	147	\spr\item\newyear2008\lvdou.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh th¬m ngon.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>	1	1	0	100	0
ThŞt heo 	5	148	\spr\item\newyear2008\zhurou.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh th¬m ngon.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color>	1	1	0	100	0
Phóc	5	149	\spr\item\newyear2008\fu.spr	41	2	1	"Mét trong nh÷ng nguyªn liÖu trang trİ c©y ngÜ qØa, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn."	1	1	0	0	0
Léc	5	150	\spr\item\newyear2008\lu.spr	41	2	1	"Mét trong nh÷ng nguyªn liÖu trang trİ c©y ngÜ qØa, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn."	1	1	0	0	0
Thä	5	151	\spr\item\newyear2008\shou.spr	41	2	1	"Mét trong nh÷ng nguyªn liÖu trang trİ c©y ngÜ qØa, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn."	1	1	0	0	0
B¸nh ch­ng th­êng	5	152	\spr\item\newyear2008\putongzongbing.spr	41	1	1	Gãp vui ngµy TÕt.<enter>Sö dông sÏ nhËn ®­îc 1.000.000 ®iÓm kinh nghiÖm vµ ngÉu nhiªn nhËn ®­îc vËt phÈm.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color><enter><color=yellow>Sö dông tèi ®a: 300 c¸i<color>	1	1	0	100	0
B¸nh ch­ng th­îng h¹ng	5	153	\spr\item\newyear2008\shangdengzongbing.spr	41	1	1	Gãp vui ngµy TÕt.<enter>Sö dông sÏ nhËn ®­îc 3.000.000 ®iÓm kinh nghiÖm vµ ngÉu nhiªn nhËn ®­îc vËt phÈm.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color><enter><color=yellow>Sö dông tèi ®a: 400 c¸i<color>	1	1	0	100	0
B¸nh ch­ng h¶o h¹ng	5	154	\spr\item\newyear2008\zhongdengzongbing.spr	41	1	1	Gãp vui ngµy TÕt.<enter>Sö dông sÏ nhËn ®­îc 6.000.000 ®iÓm kinh nghiÖm vµ ngÉu nhiªn nhËn ®­îc vËt phÈm.<enter><color=blue>XÕp chång tèi ®a: 100 c¸i<color><enter><color=yellow>Sö dông tèi ®a: 600 c¸i<color>	1	1	0	100	0
H¹t B¸t Nh· 	5	155	\spr\item\questkey\seed_rose.spr	380	1	1	Trång 1 C©y B¸t Nh·.	0	1	0	0	0
Thïng N­íc	5	156	\spr\item\script\jiefang_jieri\201004\shuitong.spr	41	1	1	Gióp c©y t¨ng tr­ëng nhanh	0	1	0	50	0
M· Bµi - Hæ V­¬ng ThÇn	5	157	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 trong 3 <enter><color=green>Hæ V­¬ng ThÇn	1000	1	0	0	0
M· Bµi - S­ Tö ThÇn	5	158	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 trong 3 <enter><color=green>S­ Tö ThÇn	1000	1	0	0	0
M· Bµi - T©y Vùc ThÇn	5	159	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc 1 trong 3 <enter><color=green>ThÇn Thó T©y Vùc	1000	1	0	0	0
M· Bµi - TruyÒn ThuyÕt	5	160	\spr\item\songjin\token.spr	385	1	1	BÊm chuét ph¶i ®Ó nhËn ®­îc <enter><color=green>H·n HuyÕt Long C©u	1000	1	0	0	0
Huy HiÖu cÊp 1	5	161	\spr\item\script\zhongqiu_jieri\zhangonghuizhang.spr	41	1	1	"Huy HiÖu Chñ So¸i, cã thÓ giao cho §¹i Chñ So¸i"	99	1	0	100	0
Huy HiÖu cÊp 2	5	162	\spr\item\vietnam\guoqing_huizhang.spr	41	1	1	"Huy HiÖu Chñ So¸i, cã thÓ giao cho §¹i Chñ So¸i"	99	1	0	100	0
Huy HiÖu cÊp 3	5	163	\spr\item\vietnam\guoqing_huizhang.spr	41	1	1	"Huy HiÖu Chñ So¸i, cã thÓ giao cho §¹i Chñ So¸i"	99	1	0	100	0
Th¹ch Kim	5	164	\spr\item\christmas\high_blue.spr	41	1	1	"Th¹ch Kim ThÇn Kú, dïng ®Ó n©ng cÊp Huy HiÖu"	99	1	0	100	0
ChiÕc ¸o lİnh bŞ r¸ch	5	165	\spr\item\script\polandejunyi.spr	41	1	1	¸o Lİnh BŞ R¸ch cña nh÷ng ng­êi lİnh	99	1	0	999	0
M¶nh V¶i	5	166	\spr\item\script\buliaopian.spr	41	1	1	Dïng ®Ó may ¸o cho nh÷ng ng­êi lİnh ph­¬ng xa	99	1	0	999	0
Khuy ¸o	5	167	\spr\item\script\kouyan.spr	41	1	1	Dïng ®Ó may ¸o cho nh÷ng ng­êi lİnh ph­¬ng xa	99	1	0	100	0
M¶nh V¶i Mµu Xanh L¸ 	5	168	\spr\item\script\lvsedebuliaopian.spr	41	1	1	Dïng ®Ó may ¸o cho nh÷ng ng­êi lİnh ph­¬ng xa	99	1	0	100	0
ChiÕc ¸o lİnh ®· söa	5	169	\spr\item\script\xiuhaodejunyi.spr	41	1	1	Göi vÒ ph­¬ng xa cho nh÷ng ng­êi lİnh	99	1	0	50	0
ChiÕc ¸o lİnh míi	5	170	\spr\item\script\xindejunyi.spr	41	1	1	Göi vÒ ph­¬ng xa cho nh÷ng ng­êi lİnh	99	1	0	50	0
ChiÕc ¸o lİnh hoµn chØnh	5	171	\spr\item\script\xindejunyi.spr	41	1	1	Göi vÒ ph­¬ng xa cho nh÷ng ng­êi lİnh	99	1	0	50	0
Cuén ChØ Lín	5	172	\spr\item\script\dilunfengrenxian.spr	41	1	1	Nguyªn liÖu cÇn thiÕt dïng ®Ó may ¸o	99	1	0	100	0
Tói Nguyªn LiÖu	5	173	\spr\item\christmas2009\shengdanlibao.spr	41	1	1	Tói chøa ®ùng nhiÒu nguyªn liÖu cÇn thiÕt	99	1	0	250	0
Hßa ThŞ Bİch	5	174	\spr\item\script\jxol_longwenyupei.spr	41	1	1	NhÊn chuét ph¶i ®Ó sö dông cã thÓ t¨ng thªm sè lÇn sö dông ChiÕc ¸o Lİnh Míi	99	1	0	0	0
B¸ch Niªn Huy Hoµng qu¶ 	5	175	\spr\item\script\huihuangzhiguo_avd1.spr	380	1	1	"B¸ch niªn huy hoµng qu¶, sö dông sÏ gia t¨ng c«ng lùc"	99	1	0	0	0
Thiªn Niªn Huy Hoµng qu¶ 	5	176	\spr\item\script\huihuangzhiguo_avd2.spr	380	1	1	"Thiªn niªn huy hoµng qu¶, sö dông sÏ gia t¨ng nhiÒu lÇn c«ng lùc"	99	1	0	0	0
V¹n Niªn Huy Hoµng qu¶ 	5	177	\spr\item\script\huihuangzhiguo_avd3.spr	380	1	1	"V¹n niªn huy hoµng qu¶, sö dông sÏ gia t¨ng nhiÒu lÇn c«ng lùc"	99	1	0	0	0
Tói ChØ Lín	5	178	\spr\item\script\spring2010\jixiangbao.spr	41	1	1	"Bªn trong chøa 50 cuén chØ lín, nguyªn liÖu cÇn thiÕt dïng ®Ó may ¸o."	0	1	0	0	0
§­¬ng Quy	5	179	\spr\vng\item\120628_event_thang_7\duongquy.spr	41	1	1	Nguyªn LiÖu LuyÖn Ch©n §¬n	99	1	0	500	0
X¹ H­¬ng	5	180	\spr\vng\item\120628_event_thang_7\xahuong.spr	41	1	1	Nguyªn LiÖu LuyÖn Ch©n §¬n	99	1	0	500	0
TrÇn B× 	5	181	\spr\vng\item\120628_event_thang_7\tranbi.spr	41	1	1	Nguyªn LiÖu LuyÖn Ch©n §¬n	99	1	0	500	0
Li T©m Th¶o	5	182	\spr\vng\item\120628_event_thang_7\lytamthao.spr	41	1	1	Nguyªn LiÖu LuyÖn Ch©n §¬n	99	1	0	500	0
D­îc v­¬ng ®Ønh	5	183	\spr\vng\item\120628_event_thang_7\duocvuongdinh.spr	41	1	1	Nguyªn LiÖu LuyÖn Ch©n §¬n	99	1	0	500	0
Hæ Khª §¬n	5	184	\spr\vng\item\120628_event_thang_7\hokhedon.spr	41	1	1	Sö dông nhËn ®­îc kinh nghiÖm	99	1	0	500	0
S­ B× §¬n	5	185	\spr\vng\item\120628_event_thang_7\subidon.spr	41	1	1	Sö dông nhËn ®­îc kinh nghiÖm vµ ngÉu nhiªn vËt phÈm	99	1	0	500	0
Ch©n Long §¬n	5	186	\spr\vng\item\120628_event_thang_7\chanlongdon.spr	41	1	1	Sö dông nhËn ®­îc rÊt nhiÒu kinh nghiÖm	99	1	0	500	0
Bang Héi ThiÕt HuyÕt LÖnh	5	187	\spr\vng\item\120628_event_thang_7\banghoithiethuyetlenh.spr	41	1	1	"PhÇn th­ëng ho¹t ®éng, thêi gian trùc tuyÕn sau khi ®ñ ®iÒu kiÖn sÏ nhËn ®­îc"	99	1	0	50	0
Bang Héi §an T©m LÖnh	5	188	\spr\vng\item\120628_event_thang_7\banghoidantamlenh.spr	41	1	1	"PhÇn th­ëng ho¹t ®éng, thêi gian trùc tuyÕn sau khi ®ñ ®iÒu kiÖn sÏ nhËn ®­îc"	99	1	0	50	0
R­¬ng D­îc v­¬ng ®Ønh	5	189	\spr\item\oldbox\oldbox.spr	41	1	1	"Bªn trong chøa 50 D­îc v­¬ng ®Ønh, ®Õn NPC Tæng Qu¶n Sù KiÖn ®Ó t×m hiÓu"	0	1	0	0	0
Thiªn S¬n TuyÕt Liªn	5	190	\spr\item\script\tianshanxuelian.spr	41	1	1	"¡n vµo c«ng lùc sÏ gia t¨ng gÊp béi, dµnh cho cÊp tõ 90 trë xuèng."	0	1	0	0	0
§¸ Kim C­¬ng	5	191	\spr\vng\item\Item_JXF_KIMCUONGTHO.spr	333	1	1	§æi Chu T­íc B¹ch Ngäc ë §¹i Sù L·o L·o	0	1	0	100	0
Tói §¸ Kim C­¬ng	5	192	\spr\item\script\jiefang_jieri\201004\daojudai.spr	41	1	1	Bªn trong chøa 50 §¸ Kim C­¬ng	0	1	0	0	0
Hoµng Kim Xa ChØ 	5	193	\spr\vng\item\JXF_THANH TRE.spr	333	1	1	§æi ra c¸c lo¹i ngäc quı ë §¹i Sù L·o L·o	0	1	0	250	0
§¸ Th¹ch Anh	5	194	\spr\vng\item\JXF_ITEM_THACHANHTHO24x24.spr	333	1	1	§æi Kim L©n Th¹ch Anh ë §¹i Sù L·o L·o	0	1	0	250	0
§¸ Hång Ngäc	5	195	\spr\vng\item\JXF_ITEM_HONGOCTHO24x24.spr	333	1	1	§æi Hoa Hå Hång Ngäc ë §¹i Sù L·o L·o	0	1	0	250	0
Kim L©n Th¹ch Anh	5	196	\spr\vng\item\Item_JXF_THACHANHHOANMY.spr	333	1	1	Sö dông nhËn ®­îc rÊt nhiÒu ®iÓm kinh nghiÖm.	0	1	0	100	0
Háa Hå Hång Ngäc	5	197	\spr\vng\item\Item_JXF_HONGNGOCHOANMY.spr	333	1	1	Sö dông nhËn ®­îc rÊt nhiÒu ®iÓm kinh nghiÖm vµ cã c¬ héi nhËn ®­îc 1 vËt phÈm	0	1	0	100	0
Chu T­íc B¹ch Ngäc	5	198	\spr\vng\item\Item_JXF_KIMCUONGHOANMY.spr	333	1	1	Sö dông nhËn ®­îc rÊt nhiÒu ®iÓm kinh nghiÖm vµ cã c¬ héi nhËn ®­îc 1 vËt phÈm hiÕm	0	1	0	100	0
GiÊy Mµu Tr¾ng	5	199	\spr\vng\item\giay-mau-trang.spr	41	1	1	"Nguyªn liÖu ®Ó lµm lång ®Ìn Trung Thu, §¹i Sù L·o L·o biÕt c¸ch lµm."	0	1	0	100	0
Tói GiÊy Mµu Tr¾ng	5	200	\spr\vng\item\tui-giay-mau-trang.spr	41	1	1	Bªn trong chøa 50 GiÊy Mµu Tr¾ng.	0	1	0	0	0
GiÊy Mµu Vµng	5	201	\spr\vng\item\giay-mau-vang.spr	41	1	1	"Nguyªn liÖu ®Ó lµm lång ®Ìn trung thu, §¹i Sù L·o L·o biÕt c¸ch lµm."	0	1	0	200	0
Thanh Tre	5	202	\spr\vng\item\thanh-tre.spr	41	1	1	"Nguyªn liÖu ®Ó lµm lång ®Ìn Trung Thu, §¹i Sù L·o L·o biÕt c¸ch lµm."	0	1	0	200	0
Lång §Ìn Gµ Con	5	203	\spr\vng\item\long-den-ga-con.spr	41	1	1	Lång ®Ìn gµ con dïng ®Ó trang trİ Trung Thu.	0	1	0	200	0
Lång §Ìn Thá Con	5	204	\spr\vng\item\long-den-tho-con.spr	41	1	1	Lång ®Ìn thá con dïng ®Ó trang trİ Trung Thu.	0	1	0	200	0
Lång §Ìn Ngùa Con	5	205	\spr\vng\item\long-den-ngua-con.spr	41	1	1	Lång ®Ìn ngùa con dïng ®Ó trang trİ Trung Thu.	0	1	0	200	0
Hép Lång §Ìn	5	206	\spr\item\script\biyishuangfei.spr	41	1	1	Bªn trong chøa ngÉu nhiªn 1 c¸i lång ®Ìn trung thu (t¸c dông trong 30 phót).	0	1	0	20	0
D©y chuyÒn	5	207	\spr\item\script\funv_jieri\200903\xianglian.spr	41	1	1	Mét lo¹i trang søc mµ ph¸i n÷ th­êng dïng ®Ó trang ®iÓm.	0	1	0	250	0
Thñ Tr¹c	5	208	\spr\item\script\funv_jieri\200903\shouzuo.spr	41	1	1	Mét lo¹i trang søc mµ ph¸i n÷ th­êng dïng ®Ó trang ®iÓm.	0	1	0	250	0
Hoa tai	5	209	\spr\item\script\funv_jieri\200903\erhuan.spr	41	1	1	Mét lo¹i trang søc mµ ph¸i n÷ th­êng dïng ®Ó trang ®iÓm.	0	1	0	250	0
NhÉn	5	210	\spr\item\script\funv_jieri\200903\jiezhi.spr	41	1	1	Mét lo¹i trang søc mµ ph¸i n÷ th­êng dïng ®Ó trang ®iÓm.	0	1	0	250	0
Kh¨n Quµng Cæ 	5	211	\spr\item\script\funv_jieri\200903\weijin.spr	41	1	1	Mét lo¹i trang søc mµ ph¸i n÷ th­êng dïng ®Ó trang ®iÓm.	0	1	0	250	0
N­íc Hoa Cao CÊp	5	212	\spr\item\script\funv_jieri\200903\xiangshui.spr	41	1	1	Mét lo¹i n­íc hoa cao cÊp dµnh cho ph¸i n÷.	0	1	0	250	0
C©y Tr©m Vµng	5	213	\spr\item\questkey\taskobj001.spr	41	1	1	Mét lo¹i trang søc mµ ph¸i n÷ th­êng dïng ®Ó trang ®iÓm.	0	1	0	100	0
Hép Tr©m Vµng	5	214	\spr\item\script\item_chrismasbox.spr	41	1	1	Bªn trong chøa 50 C©y Tr¨m Vµng.	0	1	0	0	0
Hép Trang Søc (nhá)	5	215	\spr\item\jiefang2010\hanjinhe.spr	41	1	1	Hép chøa 1 trong c¸c lo¹i dông cô trang ®iÓm dµnh cho n÷ giíi.	0	1	0	200	0
Hép Trang Søc (lín)	5	216	\spr\item\script\funv_jieri\200903\zhuangshihe.spr	41	2	1	Hép chøa 1 trong c¸c lo¹i dông cô trang ®iÓm dµnh cho n÷ giíi.	0	1	0	200	0
Tói Nguyªn LiÖu	5	217	\spr\item\script\spring2010\jixiangbao.spr	41	1	1	Bªn trong chøa nguyªn liÖu tham gia sù kiÖn C©y Tr©m Vµng	99	1	0	250	0
Méc KiÕm	5	218	\spr\vng\item\other\20121030_kiemphatran\mockiem.spr	41	1	1	"Méc kiÕm ®· tõng ®­îc tiÒn bèi §éc C« CÇu B¹i sö dông, dïng néi c«ng lµm c¨n b¶n h­ ¶o khã l­êng"	0	1	0	250	0
Träng KiÕm	5	219	\spr\vng\item\other\20121030_kiemphatran\trongkiem.spr	41	1	1	"§­îc chÕ t¹o tõ lo¹i HuyÒn ThuyÕt tr©n quı cã søc nÆng ngµn c©n, khi thi triÓn cã thÓ lµm kÎ ®Şch ph¶i kinh hån b¹c vİa"	0	1	0	250	0
Th¸i H­ KiÕm	5	220	\spr\vng\item\other\20121030_kiemphatran\thaihukiem.spr	41	1	1	"B¶o vËt cña nói Vâ §ang l­u truyÒn tõ ®êi nµy sang ®êi kh¸c, nhÑ nhµng vµ s¾c bĞn v« song"	0	1	0	250	0
Bïa Ngò Hµnh	5	221	\spr\vng\item\other\20121030_kiemphatran\buanguhanh.spr	38	1	1	"Lo¹i bïa ngò hµnh do c¸c ®¹o gia chÕ t¹o, lµ nguyªn liÖu cÇn thiÕt ®Ó kÕt trËn ngò hµnh"	0	1	0	250	0
YÕu QuyÕt Ngò Hµnh	5	222	\spr\vng\item\other\20121030_kiemphatran\yeuquyetnguhanh.spr	38	1	1	"Lµ 1 lo¹i b¶o vËt ®Æt biÖt thÊt truyÒn rÊt nhiÒu n¨m, khi ®äc nÕu hiÓu ®­îc sÏ n©ng cao néi lùc lªn tÇm cao míi"	0	1	0	250	0
Lu©n Håi TrËn	5	223	\spr\vng\item\other\20121030_kiemphatran\luanhoitran.spr	41	1	1	"TrËn ph¸p ®­îc kÕt hîp tõ 3 lo¹i kiÕm kh¸c nhau, t¹o nªn c¶m gi¸c h­ ¶o khã ph©n, th­êng dïng ®Ó bÉy nh÷ng kÎ ®Şch m¹nh"	0	1	0	250	0
Ngò Hµnh TrËn	5	224	\spr\vng\item\other\20121030_kiemphatran\nguhanhtran.spr	41	1	1	"Ngò Hµnh TrËn Ph¸p lµ sù kÕt hîp t­¬ng sinh t­¬ng kh¾c cña 5 hÖ Kim, Méc, Thæ, Thñy, Háa t¹o nªn 1 kÕt nèi v÷ng ch¾c, thİch hîp ®Ó phßng thñ"	0	1	0	250	0
Lôc Hîp TrËn	5	225	\spr\vng\item\other\20121030_kiemphatran\luchoptran.spr	41	1	1	"VËn dông sù kÕt hîp cña méc kiÕm vµ néi c«ng th­îng thõa cã thÓ t¹o nªn kiÕm trËn, thİch hîp ®Ó tÊn c«ng kÎ thï"	0	1	0	250	0
Tói YÕu QuyÕt	5	226	\spr\item\script\spring2010\jixiangbao.spr	41	1	1	Bªn trong cã 50 YÕu QuyÕt Ngò Hµnh.	0	1	0	0	0
M¶nh v¶i vµng	5	227	\spr\item\christmas2006\yellowcarf.spr	41	1	1	"Nguyªn liÖu lµm ng­êi tuyÕt, h·y mang ®Õn NPC §¹i Sù L·o L·o ®Ó t×m hiÓu."	0	1	0	200	0
M¶nh v¶i xanh	5	228	\spr\item\christmas2006\greenscarf.spr	41	1	1	"Nguyªn liÖu lµm ng­êi tuyÕt, h·y mang ®Õn NPC §¹i Sù L·o L·o ®Ó t×m hiÓu."	0	1	0	200	0
M¶nh v¶i ®á	5	229	\spr\item\christmas2006\redscarf.spr	41	1	1	"Nguyªn liÖu lµm ng­êi tuyÕt, h·y mang ®Õn NPC §¹i Sù L·o L·o ®Ó t×m hiÓu."	0	1	0	200	0
Gãi v¶i ®á	5	230	\spr\item\obj_item_jixiang.spr	41	1	1	"Chuét ph¶i sö dông, nhËn ®­îc 50 TÊm V¶i §á"	0	1	0	0	0
Qu¶ cÇu tuyÕt	5	231	\spr\item\jianzhong\mantou.spr	41	1	1	"Nguyªn liÖu lµm ng­êi tuyÕt, h·y mang ®Õn NPC §¹i Sù L·o L·o ®Ó t×m hiÓu."	0	1	0	200	0
Hoa TuyÕt	5	232	\spr\item\questkey\snow.spr	41	1	1	"Nguyªn liÖu lµm ng­êi tuyÕt, h·y mang ®Õn NPC §¹i Sù L·o L·o ®Ó t×m hiÓu."	0	1	0	200	0
Ng­êi tuyÕt vµng	5	233	\spr\item\vnxmas2007\huang_xueren.spr	41	1	1	Ng­êi tuyÕt th­êng ®­îc dïng ®Ó trang trİ vµo mïa ®«ng.	0	1	0	100	0
Ng­êi tuyÕt lôc	5	234	\spr\item\christmas2006\snowman_greenscarf.spr	41	1	1	Ng­êi tuyÕt th­êng ®­îc dïng ®Ó trang trİ vµo mïa ®«ng.	0	1	0	100	0
Ng­êi tuyÕt ®á	5	235	\spr\item\christmas2006\snowman_redscarf.spr	41	1	1	Ng­êi tuyÕt th­êng ®­îc dïng ®Ó trang trİ vµo mïa ®«ng.	0	1	0	100	0
Cñi kh« 	5	236	\spr\item\event\qmxiang.spr	41	1	1	Lo¹i cñi b¾t löa rÊt nhanh.	0	1	0	100	0
Tói nguyªn liÖu luéc b¸nh	5	237	\spr\item\script\item_daizi.spr	41	1	1	Chuét ph¶i ®Ó b¾t ®Çu luéc b¸nh ch­ng.	0	1	0	5	0
Bİ TŞch L¨ng Ba Vi Bé 	5	238	\spr\item\questkey\taskobj022.spr	41	1	1	Bªn trong ghi chĞp l¹i kü n¨ng <color=blue> L¨ng Ba Vi Bé <color> cña LÖnh Hå Xung tr­ëng m«n Hoa S¬n Ph¸i.	0	1	0	0	0
B¶o R­¬ng VËn Tiªu	5	239	\spr\item\script\songjinmibao.spr	41	1	1	"PhÇn th­ëng khi hoµn thµnh VËn Tiªu,khi më ngÉu nhiªn nhËn vËt phÈm hoÆc kh«ng cã g×."	0	1	0	999	0
GiÊy Mµu Vµng	5	240	\spr\vng\item\giay-mau-vang.spr	41	1	1	"Nguyªn liÖu ®Ó lµm lång ®Ìn trung thu, §¹i Sù L·o L·o biÕt c¸ch lµm."	0	1	0	200	0
Hßa ThŞ Bİch	5	241	\spr\item\script\jxol_longwenyupei.spr	41	1	1	"Nguyªn liÖu ®Ó lµm lång ®Ìn Trung Thu, §¹i Sù L·o L·o biÕt c¸ch lµm."	0	1	0	200	0
Tói Quµ Trung Thu	5	242	\spr\item\newyear2008\yingchundai.spr	41	1	1	Bªn trong chøa GiÊy hoÆc Hßa ThŞ Bİch.	0	1	0	200	0
B¶o R­¬ng Anh Hïng	5	243	\spr\item\script\baoxiang_yin.spr	367	1	1	"NhÊn chuét ph¶i sö dông, bªn trong chøa Long Ch©u quı gi¸."	0	1	0	200	0
Hép Huy HiÖu Sù KiÖn	5	244	\spr\vng\item\130327_event_thang_4\hophuyhieu.spr	387	1	1	Bªn trong ch­a nhiÒu lo¹i huy hiÖu <enter>Tham gia sù kiÖn [Gi¶i Phãng MiÒn Nam].	0	1	0	100	0
Huy HiÖu 1 Sao	5	245	\spr\vng\item\130327_event_thang_4\huyhieu1sao.spr	387	1	1	"VËt phÈm sù kiÖn 30/4,1/5 <enter>Thu thËp ®ñ nguyªn liÖu ®Ó chÕ t¹o."	0	1	0	100	0
Huy HiÖu 2 Sao	5	246	\spr\vng\item\130327_event_thang_4\huyhieu2sao.spr	387	1	1	"VËt phÈm sù kiÖn 30/4,1/5 <enter>Thu thËp ®ñ nguyªn liÖu ®Ó chÕ t¹o."	0	1	0	100	0
Huy HiÖu 3 Sao	5	247	\spr\vng\item\130327_event_thang_4\huyhieu3sao.spr	387	1	1	"VËt phÈm sù kiÖn 30/4,1/5 <enter>Thu thËp ®ñ nguyªn liÖu ®Ó chÕ t¹o."	0	1	0	100	0
Huy HiÖu 4 Sao	5	248	\spr\vng\item\130327_event_thang_4\huyhieu4sao.spr	387	1	1	"VËt phÈm sù kiÖn 30/4,1/5 <enter>Thu thËp ®ñ nguyªn liÖu ®Ó chÕ t¹o."	0	1	0	100	0
Huy HiÖu 5 Sao	5	249	\spr\vng\item\huyhieu5sao.spr	387	1	1	"VËt phÈm sù kiÖn 30/4,1/5 <enter>Thu thËp ®ñ nguyªn liÖu ®Ó chÕ t¹o."	0	1	0	100	0
Hµnh Qu©n LÖnh	5	250	\spr\vng\item\130327_event_thang_4\hanhquanlenh.spr	387	1	1	PhÇn th­ëng ®Æc biÖt<color=yellow> khi sö dông Huy HiÖu §¹i So¸i mang ®Õn NPC LÔ Quan Sø Gi¶ Sù KiÖn 30/4 ®Ó t×m hiÓu.	0	1	0	0	0
Huy HiÖu Sao Vµng (TiÓu)	5	251	\spr\vng\item\130327_event_thang_4\saovang.spr	387	1	1	Sö dông nhËn ®­îc [Kinh NghiÖm TiÓu]<enter>Giíi h¹n sè l­îng - Tİch lòy nhËn quµ.	0	1	0	100	0
Huy HiÖu Sao §á (Trung)	5	252	\spr\vng\item\130327_event_thang_4\saodo.spr	387	1	1	Sö dông nhËn ®­îc [Kinh NghiÖm Trung]<enter>Giíi h¹n sè l­îng - Tİch lòy nhËn quµ.	0	1	0	100	0
